year,month,brand,bev_count
2016,1,BMW,10
2016,1,CITROEN,1
2016,1,KIA,12
2016,1,MERCEDES-BENZ,10
2016,1,MITSUBISHI,1
2016,1,NISSAN,16
2016,1,PEUGEOT,5
2016,1,RENAULT,29
2016,1,TESLA,140
2016,1,VW,10
2016,2,BMW,11
2016,2,CITROEN,3
2016,2,KIA,7
2016,2,MERCEDES-BENZ,13
2016,2,MITSUBISHI,5
2016,2,NISSAN,11
2016,2,RENAULT,21
2016,2,TESLA,61
2016,2,VW,6
2016,3,BMW,7
2016,3,CITROEN,2
2016,3,KIA,12
2016,3,MERCEDES-BENZ,5
2016,3,MITSUBISHI,18
2016,3,NISSAN,52
2016,3,PEUGEOT,5
2016,3,RENAULT,53
2016,3,SECMA,1
2016,3,SMART,2
2016,3,STIMBO,1
2016,3,TAZZARI,4
2016,3,TESLA,243
2016,3,VW,11
2016,4,BMW,5
2016,4,CITROEN,9
2016,4,KIA,11
2016,4,MERCEDES-BENZ,11
2016,4,MITSUBISHI,12
2016,4,NISSAN,35
2016,4,PEUGEOT,5
2016,4,RENAULT,41
2016,4,TESLA,84
2016,4,VW,9
2016,5,BMW,18
2016,5,CITROEN,6
2016,5,KIA,9
2016,5,MERCEDES-BENZ,13
2016,5,MITSUBISHI,3
2016,5,NISSAN,11
2016,5,PEUGEOT,1
2016,5,RENAULT,40
2016,5,SMART,1
2016,5,TESLA,59
2016,5,VW,13
2016,6,BMW,21
2016,6,CITROEN,14
2016,6,KIA,17
2016,6,MERCEDES-BENZ,17
2016,6,MITSUBISHI,7
2016,6,NISSAN,23
2016,6,PEUGEOT,5
2016,6,RENAULT,35
2016,6,TESLA,212
2016,6,VW,9
2016,7,BMW,3
2016,7,CITROEN,12
2016,7,FORD-CNG-TECHNIK,2
2016,7,KIA,6
2016,7,MERCEDES-BENZ,12
2016,7,MITSUBISHI,5
2016,7,NISSAN,7
2016,7,PEUGEOT,4
2016,7,RENAULT,25
2016,7,TESLA,50
2016,7,VW,6
2016,8,BMW,30
2016,8,CITROEN,6
2016,8,KIA,10
2016,8,MERCEDES-BENZ,32
2016,8,MITSUBISHI,4
2016,8,NISSAN,10
2016,8,PEUGEOT,4
2016,8,RENAULT,36
2016,8,TESLA,120
2016,8,VW,6
2016,9,BMW,35
2016,9,CITROEN,15
2016,9,KIA,9
2016,9,MERCEDES-BENZ,18
2016,9,MITSUBISHI,5
2016,9,NISSAN,8
2016,9,PEUGEOT,2
2016,9,RENAULT,38
2016,9,TESLA,316
2016,9,VW,7
2016,10,BMW,43
2016,10,CITROEN,5
2016,10,HYUNDAI,1
2016,10,KIA,7
2016,10,MERCEDES-BENZ,14
2016,10,MITSUBISHI,1
2016,10,NISSAN,8
2016,10,RENAULT,36
2016,10,TESLA,79
2016,10,VW,4
2016,11,BMW,13
2016,11,CITROEN,1
2016,11,HYUNDAI,1
2016,11,JUMBOLINO,1
2016,11,KIA,4
2016,11,MERCEDES-BENZ,9
2016,11,MITSUBISHI,2
2016,11,NISSAN,12
2016,11,PEUGEOT,3
2016,11,RENAULT,26
2016,11,STIMBO,1
2016,11,TESLA,98
2016,11,VW,3
2016,12,BMW,127
2016,12,CITROEN,2
2016,12,HYUNDAI,28
2016,12,JUMBOLINO,2
2016,12,KIA,67
2016,12,MERCEDES-BENZ,8
2016,12,MITSUBISHI,2
2016,12,NISSAN,18
2016,12,RENAULT,28
2016,12,TESLA,243
2016,12,VW,16
2017,1,BMW,74
2017,1,CITROEN,3
2017,1,HYUNDAI,7
2017,1,KIA,1
2017,1,MERCEDES-BENZ,8
2017,1,MITSUBISHI,1
2017,1,NISSAN,23
2017,1,PEUGEOT,3
2017,1,RENAULT,71
2017,1,TESLA,104
2017,1,VW,6
2017,2,BMW,20
2017,2,CITROEN,4
2017,2,FORD-CNG-TECHNIK,1
2017,2,HYUNDAI,2
2017,2,KIA,7
2017,2,MERCEDES-BENZ,11
2017,2,MITSUBISHI,2
2017,2,NISSAN,16
2017,2,PEUGEOT,2
2017,2,RENAULT,82
2017,2,STIMBO,1
2017,2,TESLA,48
2017,2,VW,4
2017,3,BMW,39
2017,3,CITROEN,3
2017,3,HYUNDAI,6
2017,3,KIA,5
2017,3,MERCEDES-BENZ,9
2017,3,MITSUBISHI,6
2017,3,NISSAN,36
2017,3,PEUGEOT,1
2017,3,RENAULT,51
2017,3,TESLA,404
2017,3,VW,11
2017,4,BMW,32
2017,4,CITROEN,6
2017,4,HYUNDAI,7
2017,4,KIA,6
2017,4,MERCEDES-BENZ,10
2017,4,MITSUBISHI,9
2017,4,NISSAN,8
2017,4,OPEL,8
2017,4,PEUGEOT,8
2017,4,RENAULT,16
2017,4,TESLA,86
2017,4,VW,24
2017,5,BMW,45
2017,5,CITROEN,5
2017,5,FORD-CNG-TECHNIK,2
2017,5,HYUNDAI,5
2017,5,KIA,5
2017,5,MERCEDES-BENZ,13
2017,5,MITSUBISHI,6
2017,5,NISSAN,16
2017,5,PEUGEOT,3
2017,5,RENAULT,24
2017,5,TESLA,114
2017,5,VW,16
2017,6,BMW,27
2017,6,CITROEN,5
2017,6,FORD-CNG-TECHNIK,2
2017,6,HYUNDAI,8
2017,6,KIA,18
2017,6,MERCEDES-BENZ,9
2017,6,MITSUBISHI,3
2017,6,NISSAN,12
2017,6,RENAULT,99
2017,6,TAZZARI,1
2017,6,TESLA,292
2017,6,VW,16
2017,7,BMW,27
2017,7,CITROEN,4
2017,7,FORD-CNG-TECHNIK,1
