canton,brand,year,month,bev_count
A,MG,2025,9,1
A,SKODA,2021,11,1
A,SKODA,2023,6,1
A,VOLVO,2025,11,1
AG,ABARTH,2024,7,1
AG,ABARTH,2025,4,3
AG,ABARTH,2025,6,2
AG,ABARTH,2025,8,1
AG,ABARTH,2025,9,1
AG,ABARTH,2025,11,1
AG,AIWAYS,2021,2,1
AG,AIWAYS,2021,7,1
AG,AIWAYS,2021,11,1
AG,AIWAYS,2022,9,1
AG,AIWAYS,2022,11,1
AG,AIWAYS,2023,11,1
AG,AIWAYS,2024,2,1
AG,AIWAYS,2024,4,1
AG,AIWAYS,2024,6,1
AG,AIWAYS,2024,7,1
AG,AIWAYS,2025,2,1
AG,ALFA ROMEO,2024,10,2
AG,ALFA ROMEO,2024,11,3
AG,ALFA ROMEO,2025,3,2
AG,ALFA ROMEO,2025,5,1
AG,ALFA ROMEO,2025,6,1
AG,ALFA ROMEO,2025,7,2
AG,ALFA ROMEO,2025,9,3
AG,ALFA ROMEO,2026,1,1
AG,ALFA ROMEO,2026,2,1
AG,ALPINE,2025,4,1
AG,ALPINE,2025,5,3
AG,ALPINE,2025,6,3
AG,ALPINE,2025,7,4
AG,ALPINE,2025,8,2
AG,ALPINE,2025,9,1
AG,ALPINE,2025,12,2
AG,AUDI,2019,3,9
AG,AUDI,2019,4,3
AG,AUDI,2019,5,3
AG,AUDI,2019,6,1
AG,AUDI,2019,7,1
AG,AUDI,2019,8,2
AG,AUDI,2019,9,3
AG,AUDI,2019,10,5
AG,AUDI,2019,11,3
AG,AUDI,2019,12,40
AG,AUDI,2020,2,1
AG,AUDI,2020,3,4
AG,AUDI,2020,4,1
AG,AUDI,2020,5,2
AG,AUDI,2020,6,4
AG,AUDI,2020,7,10
AG,AUDI,2020,8,10
AG,AUDI,2020,9,7
AG,AUDI,2020,10,9
AG,AUDI,2020,11,22
AG,AUDI,2020,12,33
AG,AUDI,2021,1,5
AG,AUDI,2021,2,4
AG,AUDI,2021,3,13
AG,AUDI,2021,4,6
AG,AUDI,2021,5,13
AG,AUDI,2021,6,31
AG,AUDI,2021,7,18
AG,AUDI,2021,8,18
AG,AUDI,2021,9,14
AG,AUDI,2021,10,14
AG,AUDI,2021,11,25
AG,AUDI,2021,12,35
AG,AUDI,2022,1,36
AG,AUDI,2022,2,22
AG,AUDI,2022,3,14
AG,AUDI,2022,4,13
AG,AUDI,2022,5,19
AG,AUDI,2022,6,18
