year,month,brand,powertrain,count
2016,1,ALFA ROMEO,Diesel,8
2016,1,ALFA ROMEO,Petrol,52
2016,1,ALPINA,Diesel,4
2016,1,ALPINA,Petrol,2
2016,1,ASTON MARTIN,Petrol,15
2016,1,AUDI,CNG,4
2016,1,AUDI,Diesel,537
2016,1,AUDI,PHEV,10
2016,1,AUDI,Petrol,378
2016,1,BENTLEY,Petrol,14
2016,1,BMW,BEV,10
2016,1,BMW,Diesel,1159
2016,1,BMW,Hybrid (Petrol),18
2016,1,BMW,PHEV,23
2016,1,BMW,Petrol,523
2016,1,CADILLAC,Petrol,12
2016,1,CHEVROLET,Diesel,3
2016,1,CHEVROLET,Petrol,6
2016,1,CITROEN,BEV,1
2016,1,CITROEN,Diesel,190
2016,1,CITROEN,Hybrid (Diesel),5
2016,1,CITROEN,Petrol,418
2016,1,DACIA,Diesel,67
2016,1,DACIA,Petrol,396
2016,1,FERRARI,Hybrid (Petrol),1
2016,1,FERRARI,Petrol,22
2016,1,FIAT,CNG,12
2016,1,FIAT,Diesel,99
2016,1,FIAT,Petrol,482
2016,1,FORD,Diesel,400
2016,1,FORD,Petrol,331
2016,1,FORD-CNG-TECHNIK,Hybrid (Petrol),5
2016,1,FORD-CNG-TECHNIK,PHEV,8
2016,1,HONDA,Diesel,99
2016,1,HONDA,Petrol,222
2016,1,HYUNDAI,Diesel,450
2016,1,HYUNDAI,Petrol,318
2016,1,INFINITI,Diesel,12
2016,1,INFINITI,Hybrid (Petrol),3
2016,1,INFINITI,Petrol,1
2016,1,JAGUAR,Diesel,21
2016,1,JAGUAR,Petrol,21
2016,1,JEEP,Diesel,188
2016,1,JEEP,Petrol,37
2016,1,KIA,BEV,12
2016,1,KIA,Diesel,92
2016,1,KIA,Hybrid (Petrol),1
2016,1,KIA,Petrol,108
2016,1,LAMBORGHINI,Petrol,5
2016,1,LANCIA,CNG,1
2016,1,LANCIA,Petrol,12
2016,1,LAND ROVER,Diesel,173
2016,1,LAND ROVER,Hybrid (Diesel),3
2016,1,LAND ROVER,Petrol,53
2016,1,LEXUS,Hybrid (Petrol),59
2016,1,LEXUS,Petrol,4
2016,1,LOTUS,Petrol,6
2016,1,MASERATI,Diesel,9
2016,1,MASERATI,Petrol,27
2016,1,MAZDA,Diesel,162
2016,1,MAZDA,Petrol,448
2016,1,MC LAREN,Petrol,3
2016,1,MERCEDES-AMG,Petrol,44
2016,1,MERCEDES-BENZ,BEV,10
2016,1,MERCEDES-BENZ,Diesel,979
2016,1,MERCEDES-BENZ,Hybrid (Diesel),1
2016,1,MERCEDES-BENZ,Hybrid (Petrol),76
2016,1,MERCEDES-BENZ,PHEV,3
2016,1,MERCEDES-BENZ,Petrol,840
2016,1,MICRO COMPACT CAR,Petrol,1
2016,1,MINI,Diesel,28
2016,1,MINI,Petrol,254
2016,1,MITSUBISHI,BEV,1
2016,1,MITSUBISHI,Diesel,87
2016,1,MITSUBISHI,PHEV,20
2016,1,MITSUBISHI,Petrol,117
2016,1,NISSAN,BEV,16
2016,1,NISSAN,Diesel,215
2016,1,NISSAN,Petrol,301
2016,1,OPEL,CNG,1
2016,1,OPEL,Diesel,167
2016,1,OPEL,Petrol,553
2016,1,PEUGEOT,BEV,5
2016,1,PEUGEOT,Diesel,158
2016,1,PEUGEOT,Hybrid (Diesel),44
2016,1,PEUGEOT,Petrol,576
2016,1,PORSCHE,Diesel,54
2016,1,PORSCHE,Hybrid (Petrol),15
2016,1,PORSCHE,Petrol,202
2016,1,RENAULT,BEV,29
2016,1,RENAULT,Diesel,421
2016,1,RENAULT,Petrol,622
2016,1,ROLLS ROYCE,Petrol,3
2016,1,SEAT,CNG,3
2016,1,SEAT,Diesel,234
2016,1,SEAT,Petrol,337
2016,1,SKODA,CNG,8
2016,1,SKODA,Diesel,772
2016,1,SKODA,Petrol,729
2016,1,SMART,Petrol,226
2016,1,SSANGYONG,Diesel,52
2016,1,SSANGYONG,Petrol,11
2016,1,SUBARU,Diesel,27
2016,1,SUBARU,Petrol,188
2016,1,SUZUKI,Diesel,82
2016,1,SUZUKI,Petrol,401
2016,1,TESLA,BEV,140
2016,1,TOYOTA,Diesel,47
2016,1,TOYOTA,Hybrid (Petrol),273
2016,1,TOYOTA,Petrol,326
2016,1,UEBRIGE (SIEHE TYP),Diesel,2
2016,1,VOLVO,Diesel,460
2016,1,VOLVO,Diesel PHEV,4
2016,1,VOLVO,PHEV,63
2016,1,VOLVO,Petrol,134
2016,1,VW,BEV,10
2016,1,VW,CNG,10
2016,1,VW,Diesel,1202
2016,1,VW,PHEV,12
2016,1,VW,Petrol,1166
2016,2,ALFA ROMEO,Diesel,5
2016,2,ALFA ROMEO,Petrol,69
2016,2,ALPINA,Diesel,2
2016,2,ALPINA,Petrol,5
2016,2,ASTON MARTIN,Petrol,9
2016,2,AUDI,CNG,1
2016,2,AUDI,Diesel,577
2016,2,AUDI,PHEV,17
2016,2,AUDI,Petrol,545
2016,2,BENTLEY,Petrol,9
2016,2,BMW,BEV,11
2016,2,BMW,Diesel,1098
2016,2,BMW,Hybrid (Petrol),9
2016,2,BMW,PHEV,75
2016,2,BMW,Petrol,591
2016,2,CADILLAC,PHEV,2
2016,2,CADILLAC,Petrol,32
2016,2,CHEVROLET,Petrol,9
2016,2,CITROEN,BEV,3
2016,2,CITROEN,Diesel,236
2016,2,CITROEN,Hybrid (Diesel),10
2016,2,CITROEN,Petrol,398
2016,2,DACIA,Diesel,70
2016,2,DACIA,Petrol,275
2016,2,DODGE,Petrol,5
2016,2,FERRARI,Petrol,24
2016,2,FIAT,CNG,33
2016,2,FIAT,Diesel,128
2016,2,FIAT,Petrol,479
2016,2,FORD,Diesel,478
2016,2,FORD,Petrol,609
2016,2,FORD-CNG-TECHNIK,Hybrid (Petrol),4
2016,2,FORD-CNG-TECHNIK,PHEV,7
2016,2,HONDA,Diesel,74
2016,2,HONDA,Petrol,271
2016,2,HYUNDAI,Diesel,459
2016,2,HYUNDAI,Petrol,311
2016,2,INFINITI,Diesel,22
2016,2,INFINITI,Hybrid (Petrol),1
2016,2,INFINITI,Petrol,2
2016,2,JAGUAR,Diesel,22
2016,2,JAGUAR,Petrol,31
2016,2,JEEP,Diesel,170
2016,2,JEEP,Petrol,26
2016,2,KIA,BEV,7
2016,2,KIA,Diesel,128
2016,2,KIA,Petrol,159
2016,2,LAMBORGHINI,Petrol,6
2016,2,LANCIA,Petrol,5
2016,2,LAND ROVER,Diesel,316
2016,2,LAND ROVER,Hybrid (Diesel),1
2016,2,LAND ROVER,Petrol,102
2016,2,LEXUS,Hybrid (Petrol),75
2016,2,LEXUS,Petrol,10
2016,2,LOTUS,Petrol,8
2016,2,MASERATI,Diesel,11
2016,2,MASERATI,Petrol,52
2016,2,MAZDA,Diesel,164
2016,2,MAZDA,Petrol,537
2016,2,MC LAREN,Petrol,5
2016,2,MERCEDES-AMG,Petrol,48
2016,2,MERCEDES-BENZ,BEV,13
2016,2,MERCEDES-BENZ,Diesel,805
2016,2,MERCEDES-BENZ,Hybrid (Diesel),1
2016,2,MERCEDES-BENZ,Hybrid (Petrol),19
2016,2,MERCEDES-BENZ,PHEV,1
2016,2,MERCEDES-BENZ,Petrol,720
2016,2,MINI,Diesel,26
2016,2,MINI,Petrol,280
2016,2,MITSUBISHI,BEV,5
2016,2,MITSUBISHI,Diesel,108
2016,2,MITSUBISHI,PHEV,18
2016,2,MITSUBISHI,Petrol,102
2016,2,MORGAN,Petrol,1
2016,2,NISSAN,BEV,11
2016,2,NISSAN,Diesel,270
2016,2,NISSAN,Petrol,458
2016,2,OPEL,CNG,4
2016,2,OPEL,Diesel,196
2016,2,OPEL,PHEV,2
2016,2,OPEL,Petrol,711
2016,2,PEUGEOT,Diesel,219
2016,2,PEUGEOT,Hybrid (Diesel),50
2016,2,PEUGEOT,Petrol,632
2016,2,PORSCHE,Diesel,69
2016,2,PORSCHE,Hybrid (Petrol),5
2016,2,PORSCHE,Petrol,248
2016,2,RENAULT,BEV,21
2016,2,RENAULT,Diesel,489
2016,2,RENAULT,Petrol,678
2016,2,ROLLS ROYCE,Petrol,4
2016,2,SEAT,CNG,9
2016,2,SEAT,Diesel,253
2016,2,SEAT,Petrol,445
2016,2,SKODA,CNG,4
2016,2,SKODA,Diesel,835
2016,2,SKODA,Petrol,799
2016,2,SMART,Petrol,253
2016,2,SSANGYONG,Diesel,47
2016,2,SSANGYONG,Petrol,17
2016,2,SUBARU,Diesel,51
2016,2,SUBARU,Petrol,305
2016,2,SUZUKI,Diesel,63
2016,2,SUZUKI,Petrol,453
2016,2,TESLA,BEV,61
2016,2,TOYOTA,Diesel,52
2016,2,TOYOTA,Hybrid (Petrol),373
2016,2,TOYOTA,LPG,1
2016,2,TOYOTA,Petrol,345
2016,2,VOLVO,Diesel,368
2016,2,VOLVO,Diesel PHEV,4
2016,2,VOLVO,PHEV,41
2016,2,VOLVO,Petrol,112
2016,2,VW,BEV,6
2016,2,VW,CNG,11
2016,2,VW,Diesel,1286
2016,2,VW,Hybrid (Petrol),1
2016,2,VW,PHEV,29
2016,2,VW,Petrol,1448
2016,3,ALFA ROMEO,Diesel,2
2016,3,ALFA ROMEO,Petrol,70
2016,3,ALPINA,Diesel,2
2016,3,ALPINA,Petrol,6
2016,3,ASTON MARTIN,Petrol,13
2016,3,AUDI,CNG,2
2016,3,AUDI,Diesel,814
2016,3,AUDI,PHEV,25
2016,3,AUDI,Petrol,843
2016,3,BENTLEY,Petrol,10
2016,3,BMW,BEV,7
2016,3,BMW,Diesel,1328
2016,3,BMW,Hybrid (Petrol),6
2016,3,BMW,PHEV,33
2016,3,BMW,Petrol,797
2016,3,BUGATTI,Petrol,1
2016,3,CADILLAC,Petrol,27
2016,3,CHEVROLET,Petrol,22
2016,3,CITROEN,BEV,2
2016,3,CITROEN,Diesel,255
2016,3,CITROEN,Hybrid (Diesel),9
2016,3,CITROEN,Petrol,544
2016,3,DACIA,Diesel,84
2016,3,DACIA,Petrol,461
2016,3,DODGE,Petrol,14
2016,3,FERRARI,Hybrid (Petrol),4
2016,3,FERRARI,Petrol,38
2016,3,FIAT,CNG,19
2016,3,FIAT,Diesel,101
2016,3,FIAT,Petrol,494
2016,3,FISKER,PHEV,1
2016,3,FORD,Diesel,506
2016,3,FORD,Petrol,616
2016,3,FORD-CNG-TECHNIK,Hybrid (Petrol),12
2016,3,FORD-CNG-TECHNIK,PHEV,10
2016,3,GMC,Petrol,1
2016,3,HONDA,Diesel,166
2016,3,HONDA,Petrol,506
2016,3,HYUNDAI,Diesel,498
2016,3,HYUNDAI,Petrol,381
2016,3,INFINITI,Diesel,105
2016,3,INFINITI,Hybrid (Petrol),3
2016,3,INFINITI,Petrol,43
2016,3,JAGUAR,Diesel,53
2016,3,JAGUAR,Petrol,80
2016,3,JEEP,Diesel,193
2016,3,JEEP,Petrol,35
2016,3,KIA,BEV,12
2016,3,KIA,Diesel,159
2016,3,KIA,Petrol,257
2016,3,LAMBORGHINI,Petrol,10
2016,3,LANCIA,Petrol,19
2016,3,LAND ROVER,Diesel,294
2016,3,LAND ROVER,Hybrid (Diesel),5
2016,3,LAND ROVER,Petrol,114
2016,3,LEXUS,Hybrid (Petrol),71
2016,3,LEXUS,Petrol,12
2016,3,LOTUS,Petrol,8
2016,3,MASERATI,Diesel,10
2016,3,MASERATI,Petrol,36
2016,3,MAZDA,Diesel,272
2016,3,MAZDA,Petrol,923
2016,3,MC LAREN,Petrol,7
2016,3,MERCEDES-AMG,Petrol,54
2016,3,MERCEDES-BENZ,BEV,5
2016,3,MERCEDES-BENZ,Diesel,974
2016,3,MERCEDES-BENZ,Hybrid (Diesel),1
2016,3,MERCEDES-BENZ,Hybrid (Petrol),22
2016,3,MERCEDES-BENZ,PHEV,3
2016,3,MERCEDES-BENZ,Petrol,1078
2016,3,MINI,Diesel,41
2016,3,MINI,Petrol,350
2016,3,MITSUBISHI,BEV,18
2016,3,MITSUBISHI,Diesel,132
2016,3,MITSUBISHI,PHEV,33
2016,3,MITSUBISHI,Petrol,216
2016,3,MORGAN,Petrol,1
2016,3,NISSAN,BEV,52
2016,3,NISSAN,Diesel,361
2016,3,NISSAN,Petrol,420
2016,3,OPEL,CNG,10
2016,3,OPEL,Diesel,218
2016,3,OPEL,PHEV,5
2016,3,OPEL,Petrol,1207
2016,3,PEUGEOT,BEV,5
2016,3,PEUGEOT,Diesel,238
2016,3,PEUGEOT,Hybrid (Diesel),46
2016,3,PEUGEOT,Petrol,750
2016,3,PORSCHE,Diesel,72
2016,3,PORSCHE,Hybrid (Petrol),19
2016,3,PORSCHE,Petrol,365
2016,3,RENAULT,BEV,53
2016,3,RENAULT,Diesel,444
2016,3,RENAULT,Petrol,644
2016,3,SEAT,CNG,10
2016,3,SEAT,Diesel,281
2016,3,SEAT,Petrol,441
2016,3,SECMA,BEV,1
2016,3,SKODA,CNG,1
2016,3,SKODA,Diesel,931
2016,3,SKODA,Petrol,955
2016,3,SMART,BEV,2
2016,3,SMART,Petrol,354
2016,3,SSANGYONG,Diesel,47
2016,3,SSANGYONG,Petrol,26
2016,3,STIMBO,BEV,1
2016,3,SUBARU,Diesel,94
2016,3,SUBARU,Petrol,575
2016,3,SUZUKI,Diesel,115
2016,3,SUZUKI,Petrol,592
2016,3,TAZZARI,BEV,4
2016,3,TESLA,BEV,243
2016,3,TOYOTA,Diesel,68
2016,3,TOYOTA,Hybrid (Petrol),553
2016,3,TOYOTA,PHEV,1
2016,3,TOYOTA,Petrol,571
2016,3,UEBRIGE (SIEHE TYP),Diesel,1
2016,3,UEBRIGE (SIEHE TYP),Petrol,1
2016,3,VOLVO,Diesel,408
2016,3,VOLVO,Diesel PHEV,17
2016,3,VOLVO,PHEV,27
2016,3,VOLVO,Petrol,135
2016,3,VW,BEV,11
2016,3,VW,CNG,13
2016,3,VW,Diesel,1477
2016,3,VW,Hybrid (Petrol),1
2016,3,VW,PHEV,72
2016,3,VW,Petrol,1863
2016,4,ALFA ROMEO,Diesel,2
2016,4,ALFA ROMEO,Petrol,87
2016,4,ALPINA,Diesel,2
2016,4,ALPINA,Petrol,5
2016,4,ASTON MARTIN,Petrol,10
2016,4,AUDI,CNG,2
2016,4,AUDI,Diesel,883
2016,4,AUDI,Hybrid (Petrol),1
2016,4,AUDI,PHEV,37
2016,4,AUDI,Petrol,822
2016,4,BENTLEY,Petrol,24
2016,4,BMW,BEV,5
2016,4,BMW,Diesel,1356
2016,4,BMW,Hybrid (Petrol),12
2016,4,BMW,PHEV,34
2016,4,BMW,Petrol,926
2016,4,CADILLAC,Petrol,18
2016,4,CATERHAM,Petrol,3
2016,4,CHEVROLET,Petrol,22
2016,4,CITROEN,BEV,9
2016,4,CITROEN,Diesel,285
2016,4,CITROEN,Hybrid (Diesel),3
2016,4,CITROEN,Petrol,586
2016,4,CITROEN-DANGEL,Diesel,2
2016,4,DACIA,Diesel,109
2016,4,DACIA,Petrol,507
2016,4,DODGE,Petrol,12
2016,4,FERRARI,Hybrid (Petrol),2
2016,4,FERRARI,Petrol,54
2016,4,FIAT,CNG,25
2016,4,FIAT,Diesel,133
2016,4,FIAT,Petrol,610
2016,4,FORD,Diesel,510
2016,4,FORD,Petrol,592
2016,4,FORD-CNG-TECHNIK,Hybrid (Petrol),3
2016,4,FORD-CNG-TECHNIK,PHEV,4
2016,4,FORD-CNG-TECHNIK,Petrol,31
2016,4,HONDA,Diesel,135
2016,4,HONDA,Hybrid (Petrol),1
2016,4,HONDA,Petrol,343
2016,4,HYUNDAI,Diesel,563
2016,4,HYUNDAI,Petrol,428
2016,4,INFINITI,Diesel,47
2016,4,INFINITI,Petrol,14
2016,4,JAGUAR,Diesel,61
2016,4,JAGUAR,Petrol,40
2016,4,JEEP,Diesel,208
2016,4,JEEP,Petrol,63
2016,4,KIA,BEV,11
2016,4,KIA,Diesel,194
2016,4,KIA,Petrol,352
2016,4,LAMBORGHINI,Petrol,16
2016,4,LANCIA,CNG,2
2016,4,LANCIA,Petrol,1
2016,4,LAND ROVER,Diesel,195
2016,4,LAND ROVER,Hybrid (Diesel),1
2016,4,LAND ROVER,Petrol,76
2016,4,LEXUS,Hybrid (Petrol),60
2016,4,LEXUS,Petrol,9
2016,4,LOTUS,Petrol,9
2016,4,MASERATI,Diesel,6
2016,4,MASERATI,Petrol,50
2016,4,MAZDA,Diesel,202
2016,4,MAZDA,Petrol,694
