brand,count
VW,305524
BMW,227762
MERCEDES-BENZ,224214
SKODA,208071
AUDI,185509
TOYOTA,114439
RENAULT,107900
FORD,105353
SEAT,86294
HYUNDAI,84481
VOLVO,81281
DACIA,77504
OPEL,74809
PEUGEOT,74359
FIAT,62267
SUZUKI,59480
TESLA,57183
MAZDA,56274
KIA,53501
CITROEN,48827
MINI,45936
PORSCHE,42678
NISSAN,37273
HONDA,31705
MITSUBISHI,30370
JEEP,30097
SUBARU,29508
CUPRA,29419
LAND ROVER,28121
ALFA ROMEO,19434
SMART,12505
JAGUAR,10801
LEXUS,7519
MG,5095
MASERATI,4810
FERRARI,4700
POLESTAR,4418
SSANGYONG,4218
DS,3821
MERCEDES-AMG,3682
FORD-CNG-TECHNIK,2073
GENESIS,2013
LAMBORGHINI,2005
BENTLEY,1972
CHEVROLET,1649
ASTON MARTIN,1639
DODGE,1559
BYD,1470
CADILLAC,1390
ALPINE,1287
LEAPMOTOR,1243
INFINITI,1198
JAC,946
ALPINA,688
LOTUS,688
KG MOBILITY,658
MC LAREN,592
ROLLS ROYCE,458
ZEEKR,249
INEOS,248
AIWAYS,209
MORGAN,183
CHRYSLER,171
CATERHAM,150
LUCID,148
MAN,144
UEBRIGE (SIEHE TYP),132
XPENG,123
FISKER,118
ABARTH,111
SKYWELL,105
LANCIA,102
SERES,83
VOYAH,75
DONGFENG,71
BUGATTI,69
BAIC,54
CITROEN-DANGEL,47
LADA,45
JUMBOLINO,40
DALLARA,32
KTM,29
PAGANI,25
MAXUS,23
PEUGEOT-DANGEL,21
STIMBO,20
CLUB CAR,15
FFW,15
SECMA,12
ROVER,12
SWM,10
GMC,10
IVECO,9
LINCOLN,7
ROOS,7
TAZZARI,6
BRP,6
JIAYUAN,5
DONKERVOORT,5
MERCEDES-ADRIA,5
MUSTANG,5
CAN-AM,5
AB KAWASAKI,4
SAAB,4
KLINGLER,4
AC-COBRA,3
BMW/ALPINA,3
AUSTIN,2
BORGWARD,2
OPEL-DANGEL,2
RADICAL SPORTSCARS,2
RIMAC,2
PGO,2
JIALING,2
OMODA,2
NIO,2
MICRO COMPACT CAR,2
YAMAHA,2
PRINOTH,2
MAYBACH,2
MERCEDES-BENZ-HYMER,2
DAIHATSU,2
FIAT-ABARTH,2
FORD ECONOLINE,2
ABT,1
Avantier,1
ALVIS,1
ARIES,1
AUDI-NSU,1
MAHINDRA,1
KOENIG,1
FAVERO,1
HUMMER,1
FACEL-VEGA,1
EDSEL,1
DFSK,1
DAIMLER,1
CUSHMAN,1
CITROEN-POESSL,1
NSU,1
MERCEDES-BENZ-WEINSBERG,1
RENAULT-SPORT,1
RELIANT,1
PUMA,1
QUATTRO,1
PININFARINA,1
PEUGEOT-ALKO,1
PLYMOUTH,1
PONTIAC,1
NIBBI,1
TRIUMPH,1
TOURNEAU LE,1
TOYO-KOGYO,1
VAUXHALL,1
VOLVO-T,1
VW-MAN,1
WIESMANN,1
