canton,year,month,ev_count,total_count
A,2016,8,1,3
A,2016,11,0,1
A,2016,12,0,2
A,2017,2,0,2
A,2017,6,0,2
A,2017,7,0,1
A,2017,8,0,1
A,2017,9,0,1
A,2017,12,0,2
A,2018,2,0,1
A,2018,3,0,1
A,2018,4,0,1
A,2018,6,0,2
A,2018,7,0,1
A,2018,8,0,1
A,2018,11,0,1
A,2019,2,0,1
A,2019,4,0,2
A,2019,5,1,1
A,2019,9,0,1
A,2019,10,0,3
A,2019,11,0,7
A,2019,12,0,3
A,2021,7,0,1
A,2021,8,0,1
A,2021,9,0,1
A,2021,11,1,1
A,2021,12,0,3
A,2022,1,1,1
A,2022,2,0,1
A,2022,3,0,1
A,2022,4,1,2
A,2022,5,0,1
A,2022,6,0,2
A,2022,9,1,1
A,2022,10,1,2
A,2022,12,0,8
A,2023,1,0,1
A,2023,4,0,1
A,2023,5,1,2
A,2023,6,1,2
A,2023,8,0,1
A,2023,10,0,1
A,2023,12,0,1
A,2024,1,0,1
A,2024,3,3,3
A,2024,7,1,1
A,2024,12,0,1
A,2025,7,1,1
A,2025,9,1,1
A,2025,10,1,1
A,2025,11,2,4
A,2026,2,0,1
AG,2016,1,96,1659
AG,2016,2,69,1672
AG,2016,3,107,2333
AG,2016,4,94,2363
AG,2016,5,85,2031
AG,2016,6,116,2321
AG,2016,7,92,1740
AG,2016,8,87,1803
AG,2016,9,155,2108
AG,2016,10,96,1825
AG,2016,11,99,2128
AG,2016,12,117,2784
AG,2017,1,83,1523
AG,2017,2,97,1723
AG,2017,3,122,2433
AG,2017,4,136,2085
AG,2017,5,114,2175
AG,2017,6,139,2306
AG,2017,7,95,1780
AG,2017,8,114,1767
AG,2017,9,153,1994
AG,2017,10,122,2091
AG,2017,11,121,2082
AG,2017,12,133,2320
AG,2018,1,111,1786
AG,2018,2,87,1614
AG,2018,3,125,2237
AG,2018,4,122,2197
AG,2018,5,126,2103
AG,2018,6,175,2342
AG,2018,7,126,1851
AG,2018,8,113,1647
AG,2018,9,149,1720
AG,2018,10,159,1865
AG,2018,11,144,1847
