year,month,drive,count
2016,1,AWD,9068
2016,1,FWD,10367
2016,1,RWD,1090
2016,2,AWD,9579
2016,2,FWD,12012
2016,2,Other,1
2016,2,RWD,1087
2016,3,AWD,12568
2016,3,FWD,15118
2016,3,RWD,1490
2016,4,AWD,12598
2016,4,FWD,14436
2016,4,RWD,1642
2016,5,AWD,11348
2016,5,FWD,13202
2016,5,RWD,1460
2016,6,AWD,13083
2016,6,FWD,16400
2016,6,Other,5
2016,6,RWD,1628
2016,7,AWD,10917
2016,7,FWD,13782
2016,7,Other,1
2016,7,RWD,1327
2016,8,AWD,9800
2016,8,FWD,10743
2016,8,Other,5
2016,8,RWD,1251
2016,9,AWD,12195
2016,9,FWD,12734
2016,9,RWD,1246
2016,10,AWD,10891
2016,10,FWD,11453
2016,10,RWD,990
2016,11,AWD,12627
2016,11,FWD,12715
2016,11,RWD,989
2016,12,AWD,15734
2016,12,FWD,18228
2016,12,RWD,1312
2017,1,AWD,9620
2017,1,FWD,9067
2017,1,RWD,959
2017,2,AWD,10454
2017,2,FWD,11265
2017,2,Other,1
2017,2,RWD,1080
2017,3,AWD,14189
2017,3,FWD,14826
2017,3,RWD,1687
2017,4,AWD,12029
2017,4,FWD,12469
2017,4,RWD,1340
2017,5,AWD,12811
2017,5,FWD,13999
2017,5,RWD,1466
2017,6,AWD,14696
2017,6,FWD,15876
2017,6,Other,1
2017,6,RWD,1507
2017,7,AWD,11132
2017,7,FWD,12379
2017,7,RWD,1221
2017,8,AWD,10536
2017,8,FWD,11523
2017,8,RWD,1062
2017,9,AWD,12182
2017,9,FWD,11429
2017,9,RWD,968
2017,10,AWD,11994
2017,10,FWD,11762
2017,10,RWD,873
2017,11,AWD,13131
2017,11,FWD,12468
2017,11,RWD,1075
2017,12,AWD,16490
2017,12,FWD,13392
2017,12,RWD,1108
2018,1,AWD,11111
2018,1,FWD,10102
2018,1,RWD,834
2018,2,AWD,10865
2018,2,FWD,10434
2018,2,RWD,1046
2018,3,AWD,13943
2018,3,FWD,13254
2018,3,RWD,1128
2018,4,AWD,12600
2018,4,FWD,12644
2018,4,RWD,1178
2018,5,AWD,13158
2018,5,FWD,13125
2018,5,RWD,1089
2018,6,AWD,14983
2018,6,FWD,15286
2018,6,RWD,1165
2018,7,AWD,12288
2018,7,FWD,12034
2018,7,RWD,897
2018,8,AWD,10849
2018,8,FWD,9741
2018,8,RWD,767
2018,9,AWD,10377
2018,9,FWD,9348
2018,9,RWD,784
2018,10,AWD,11138
2018,10,FWD,10782
2018,10,RWD,793
2018,11,AWD,11642
2018,11,FWD,11481
2018,11,RWD,859
2018,12,AWD,13891
2018,12,FWD,12601
2018,12,RWD,915
2019,1,AWD,10743
2019,1,FWD,9587
2019,1,RWD,655
2019,2,AWD,11198
2019,2,FWD,10319
2019,2,RWD,827
2019,3,AWD,15103
2019,3,FWD,13078
2019,3,RWD,1057
2019,4,AWD,14542
2019,4,FWD,12563
2019,4,RWD,1187
2019,5,AWD,13941
2019,5,FWD,13132
2019,5,Other,2
2019,5,RWD,1107
2019,6,AWD,13911
2019,6,FWD,13359
2019,6,RWD,1102
2019,7,AWD,12348
2019,7,FWD,11855
2019,7,RWD,988
2019,8,AWD,9463
2019,8,FWD,9177
2019,8,RWD,757
2019,9,AWD,12169
2019,9,FWD,11118
2019,9,RWD,921
2019,10,AWD,13259
2019,10,FWD,11987
2019,10,RWD,760
2019,11,AWD,13407
2019,11,FWD,10158
2019,11,RWD,615
2019,12,AWD,19888
2019,12,FWD,13833
2019,12,Other,1
2019,12,RWD,820
2020,1,AWD,10248
2020,1,FWD,8201
2020,1,RWD,492
2020,2,AWD,9757
2020,2,FWD,8941
2020,2,RWD,447
2020,3,AWD,9655
2020,3,FWD,7448
2020,3,RWD,617
2020,4,AWD,4794
2020,4,FWD,4134
2020,4,RWD,346
2020,5,AWD,6872
2020,5,FWD,6619
2020,5,RWD,420
2020,6,AWD,11907
2020,6,FWD,11820
2020,6,RWD,778
2020,7,AWD,10560
2020,7,FWD,11151
2020,7,RWD,701
2020,8,AWD,7638
2020,8,FWD,8004
2020,8,RWD,505
2020,9,AWD,10549
2020,9,FWD,9684
2020,9,RWD,986
2020,10,AWD,9918
2020,10,FWD,10485
2020,10,RWD,621
2020,11,AWD,11247
2020,11,FWD,10929
2020,11,RWD,592
2020,12,AWD,15091
2020,12,FWD,12973
2020,12,Other,1
2020,12,RWD,1248
2021,1,AWD,7647
2021,1,FWD,7382
2021,1,RWD,387
2021,2,AWD,7567
2021,2,FWD,8078
2021,2,RWD,559
2021,3,AWD,12491
2021,3,FWD,11569
2021,3,RWD,1209
2021,4,AWD,10514
2021,4,FWD,10291
2021,4,RWD,1181
2021,5,AWD,9097
2021,5,FWD,9841
2021,5,RWD,1030
2021,6,AWD,11950
2021,6,FWD,12473
2021,6,RWD,1563
2021,7,AWD,8631
2021,7,FWD,9690
2021,7,RWD,915
2021,8,AWD,7520
2021,8,FWD,7778
2021,8,RWD,1134
2021,9,AWD,9724
2021,9,FWD,8623
2021,9,RWD,1311
2021,10,AWD,7056
2021,10,FWD,7160
2021,10,RWD,834
2021,11,AWD,9545
2021,11,FWD,8144
2021,11,RWD,1100
2021,12,AWD,12656
2021,12,FWD,9904
2021,12,RWD,1820
2022,1,AWD,8059
2022,1,FWD,7360
2022,1,RWD,716
2022,2,AWD,8127
2022,2,FWD,7786
2022,2,RWD,767
2022,3,AWD,10546
2022,3,FWD,9717
2022,3,RWD,1464
2022,4,AWD,7504
2022,4,FWD,7290
2022,4,RWD,807
2022,5,AWD,9342
2022,5,FWD,8088
2022,5,RWD,934
2022,6,AWD,11084
2022,6,FWD,8845
2022,6,RWD,1355
2022,7,AWD,7773
2022,7,FWD,7097
2022,7,RWD,688
2022,8,AWD,8153
2022,8,FWD,7471
2022,8,RWD,777
2022,9,AWD,11042
2022,9,FWD,8742
2022,9,RWD,1200
2022,10,AWD,8736
2022,10,FWD,7419
2022,10,RWD,1021
2022,11,AWD,10839
2022,11,FWD,9066
2022,11,RWD,1411
2022,12,AWD,12992
2022,12,FWD,9041
2022,12,Other,5
2022,12,RWD,2452
2023,1,AWD,8335
2023,1,FWD,7466
2023,1,RWD,844
2023,2,AWD,8582
2023,2,FWD,7848
2023,2,RWD,803
2023,3,AWD,12697
2023,3,FWD,11013
2023,3,RWD,1619
2023,4,AWD,9464
2023,4,FWD,7630
2023,4,RWD,1042
2023,5,AWD,10782
2023,5,FWD,9534
2023,5,RWD,1274
2023,6,AWD,12633
2023,6,FWD,10906
2023,6,RWD,1634
2023,7,AWD,9426
2023,7,FWD,7845
2023,7,Other,1
2023,7,RWD,1146
2023,8,AWD,9470
2023,8,FWD,8232
2023,8,RWD,1330
2023,9,AWD,11002
2023,9,FWD,9214
2023,9,RWD,1461
2023,10,AWD,10837
2023,10,FWD,8290
2023,10,RWD,1145
2023,11,AWD,11195
2023,11,FWD,9329
2023,11,RWD,1387
2023,12,AWD,14280
2023,12,FWD,10296
2023,12,RWD,2279
2024,1,AWD,8118
2024,1,FWD,6525
2024,1,RWD,732
2024,2,AWD,9563
2024,2,FWD,7976
2024,2,RWD,1037
2024,3,AWD,12793
2024,3,FWD,9665
2024,3,RWD,1289
2024,4,AWD,10495
2024,4,FWD,8389
2024,4,Other,1
2024,4,RWD,967
2024,5,AWD,11037
2024,5,FWD,8930
2024,5,RWD,1259
2024,6,AWD,11630
2024,6,FWD,9806
2024,6,RWD,1413
2024,7,AWD,9052
2024,7,FWD,8043
2024,7,RWD,1088
2024,8,AWD,8127
2024,8,FWD,6839
2024,8,RWD,1066
2024,9,AWD,10660
2024,9,FWD,8267
2024,9,RWD,1246
2024,10,AWD,9708
2024,10,FWD,8048
2024,10,RWD,883
2024,11,AWD,9900
2024,11,FWD,8731
2024,11,RWD,1122
2024,12,AWD,13444
2024,12,FWD,9903
2024,12,RWD,1634
2025,1,AWD,7692
2025,1,FWD,6676
2025,1,RWD,614
2025,2,AWD,8122
2025,2,FWD,7323
2025,2,RWD,829
2025,3,AWD,11265
2025,3,FWD,9427
2025,3,RWD,1135
2025,4,AWD,9386
2025,4,FWD,8283
2025,4,RWD,941
2025,5,AWD,9945
2025,5,FWD,8964
2025,5,RWD,1119
2025,6,AWD,11041
2025,6,FWD,10037
2025,6,Other,1
2025,6,RWD,1558
2025,7,AWD,9402
2025,7,FWD,7918
2025,7,RWD,1115
2025,8,AWD,7922
2025,8,FWD,7422
2025,8,RWD,826
2025,9,AWD,10081
2025,9,FWD,8377
2025,9,RWD,1518
2025,10,AWD,9282
2025,10,FWD,8214
2025,10,RWD,1049
2025,11,AWD,9887
2025,11,FWD,8582
2025,11,Other,1
2025,11,RWD,1135
2025,12,AWD,14337
2025,12,FWD,10277
2025,12,RWD,1644
2026,1,AWD,7221
2026,1,FWD,6309
2026,1,RWD,588
2026,2,AWD,7728
2026,2,FWD,7287
2026,2,RWD,717
2026,3,AWD,12232
2026,3,FWD,9761
2026,3,RWD,1268
2026,4,AWD,9945
2026,4,FWD,7641
2026,4,RWD,955
2026,5,AWD,10238
2026,5,FWD,8410
2026,5,RWD,1139
2026,6,AWD,13716
2026,6,FWD,10567
2026,6,RWD,1165
2026,7,AWD,4921
2026,7,FWD,3306
2026,7,RWD,350
