year,month,model,brand,segment,count
2016,1,ALFA ROMEO 4C,ALFA ROMEO,Sports / GT,3
2016,1,ALFA ROMEO GIULIETTA,ALFA ROMEO,Compact,51
2016,1,ALFA ROMEO MITO,ALFA ROMEO,City / Supermini,6
2016,1,ALPINA B3,ALPINA,Other,2
2016,1,ALPINA D3,ALPINA,Other,1
2016,1,ALPINA XD3,ALPINA,Other,3
2016,1,ASTON MARTIN DB9,ASTON MARTIN,Other,4
2016,1,ASTON MARTIN DB9GT,ASTON MARTIN,Other,1
2016,1,ASTON MARTIN LAGONDA,ASTON MARTIN,Other,1
2016,1,ASTON MARTIN RAPIDE,ASTON MARTIN,Other,2
2016,1,ASTON MARTIN V12VANTAGES,ASTON MARTIN,Other,1
2016,1,ASTON MARTIN V8,ASTON MARTIN,Other,2
2016,1,ASTON MARTIN VANQUISH,ASTON MARTIN,Other,2
2016,1,ASTON MARTIN VANTAGEGT12,ASTON MARTIN,Other,2
2016,1,AUDI A3,AUDI,Compact,209
2016,1,AUDI A4,AUDI,Compact Executive,157
2016,1,AUDI A5,AUDI,Compact Executive,27
2016,1,AUDI A6,AUDI,Executive,117
2016,1,AUDI A7,AUDI,Executive,12
2016,1,AUDI A8,AUDI,Luxury,24
2016,1,AUDI Q5,AUDI,Mid-size SUV,76
2016,1,AUDI Q7,AUDI,Large SUV,50
2016,1,AUDI TT,AUDI,Sports / GT,11
2016,1,Audi A1,AUDI,City / Supermini,103
2016,1,Audi Q3,AUDI,Compact SUV,143
2016,1,BENTLEY CONTINETAL,BENTLEY,Other,1
2016,1,BENTLEY FLYING,BENTLEY,Other,3
2016,1,BENTLEY MULSANNE,BENTLEY,Other,1
2016,1,BMW 1 Series,BMW,Compact,168
2016,1,BMW 2 Series,BMW,Compact,292
2016,1,BMW 3 Series,BMW,Compact Executive,216
2016,1,BMW 4 Series,BMW,Compact Executive,99
2016,1,BMW 5 Series,BMW,Executive,94
2016,1,BMW 6 Series,BMW,Executive,12
2016,1,BMW 7 Series,BMW,Luxury,29
2016,1,BMW I3,BMW,City / Supermini,17
2016,1,BMW I8,BMW,Sports / GT,5
2016,1,BMW M,BMW,Other,13
2016,1,BMW X1,BMW,Compact SUV,221
2016,1,BMW X3,BMW,Mid-size SUV,273
2016,1,BMW X4,BMW,Mid-size SUV,57
2016,1,BMW X5,BMW,Large SUV,175
2016,1,BMW X6,BMW,Large SUV,53
2016,1,BMW XA,BMW,Other,1
2016,1,BMW Z4,BMW,Sports / GT,8
2016,1,Bentley Continental,BENTLEY,Other,9
2016,1,CADILLAC ATS,CADILLAC,Other,1
2016,1,CADILLAC ATS-V,CADILLAC,Other,2
2016,1,CADILLAC CTS,CADILLAC,Other,4
2016,1,CADILLAC ESCALADE,CADILLAC,Other,3
2016,1,CADILLAC SRX,CADILLAC,Other,2
2016,1,CHEVROLET CAPTIVA,CHEVROLET,Other,3
2016,1,CHEVROLET CORVETTE,CHEVROLET,Other,6
2016,1,CITROEN BERLINGO,CITROEN,Other,24
2016,1,CITROEN C-ZERO,CITROEN,Other,1
2016,1,CITROEN C1,CITROEN,Other,87
2016,1,CITROEN C3,CITROEN,Other,132
2016,1,CITROEN C4,CITROEN,Other,224
2016,1,CITROEN C5,CITROEN,Other,35
2016,1,CITROEN DS3,CITROEN,Other,63
2016,1,CITROEN DS4,CITROEN,Other,35
2016,1,CITROEN DS5,CITROEN,Other,12
2016,1,CITROEN JUMPER,CITROEN,Other,1
2016,1,DACIA DOKKER,DACIA,Other,43
2016,1,DACIA DUSTER,DACIA,Other,115
2016,1,DACIA LODGY,DACIA,Other,31
2016,1,DACIA LOGAN,DACIA,Other,55
2016,1,DACIA SANDERO,DACIA,Other,219
2016,1,FERRARI 458,FERRARI,Other,2
2016,1,FERRARI 488,FERRARI,Other,9
2016,1,FERRARI CALIFORNIA,FERRARI,Other,4
2016,1,FERRARI F12,FERRARI,Other,7
2016,1,FERRARI LAFERRARI,FERRARI,Other,1
2016,1,FIAT 500,FIAT,Other,226
2016,1,FIAT 500L,FIAT,Other,21
2016,1,FIAT 500X,FIAT,Other,100
2016,1,FIAT DOBLO,FIAT,Other,20
2016,1,FIAT DUCATO,FIAT,Other,7
2016,1,FIAT FREEMONT,FIAT,Other,15
2016,1,FIAT PANDA,FIAT,Other,135
2016,1,FIAT PUNTO,FIAT,Other,58
2016,1,FIAT QUBO,FIAT,Other,6
2016,1,FIAT SCUDO,FIAT,Other,5
2016,1,FORD B,FORD,Other,1
2016,1,FORD B-MAX,FORD,Other,17
2016,1,FORD C-MAX,FORD,Other,21
2016,1,FORD ECOSPORT,FORD,Other,22
2016,1,FORD EDGE,FORD,Other,1
2016,1,FORD FIESTA,FORD,Other,112
2016,1,FORD FOCUS,FORD,Other,97
2016,1,FORD GALAXY,FORD,Other,16
2016,1,FORD GRAND,FORD,Other,1
2016,1,FORD GRANDC-MAX,FORD,Other,44
2016,1,FORD KA,FORD,Other,13
2016,1,FORD KUGA,FORD,Other,174
2016,1,FORD MONDEO,FORD,Other,72
2016,1,FORD MUSTANG,FORD,Other,13
2016,1,FORD S-MAX,FORD,Other,89
2016,1,FORD TOURNEO,FORD,Other,27
2016,1,FORD TRANSIT,FORD,Other,11
2016,1,FORD-CNG-TECHNIK C-MAXPHEV,FORD-CNG-TECHNIK,Other,8
2016,1,FORD-CNG-TECHNIK MONDEOHEV,FORD-CNG-TECHNIK,Other,5
2016,1,HONDA CIVIC,HONDA,Other,59
2016,1,HONDA CR-V,HONDA,Other,91
2016,1,HONDA HR-V,HONDA,Other,42
2016,1,HONDA JAZZ,HONDA,Other,129
2016,1,HYUNDAI H-1,HYUNDAI,Other,2
2016,1,HYUNDAI I10,HYUNDAI,Other,47
2016,1,HYUNDAI I20,HYUNDAI,Other,127
2016,1,HYUNDAI I30,HYUNDAI,Other,153
2016,1,HYUNDAI I40,HYUNDAI,Other,24
2016,1,HYUNDAI IX20,HYUNDAI,Other,42
2016,1,HYUNDAI IX35,HYUNDAI,Other,4
2016,1,HYUNDAI NEW,HYUNDAI,Other,3
2016,1,HYUNDAI TUCSON,HYUNDAI,Other,257
2016,1,HYUNDAI VELOSTER,HYUNDAI,Other,6
2016,1,Hyundai Santa Fe,HYUNDAI,Other,103
2016,1,INFINITI Q30,INFINITI,Other,2
2016,1,INFINITI Q50,INFINITI,Other,9
2016,1,INFINITI Q70,INFINITI,Other,1
2016,1,INFINITI QX70,INFINITI,Other,4
2016,1,JAGUAR F-TYPE,JAGUAR,Sports / GT,1
2016,1,JAGUAR XE,JAGUAR,Compact Executive,27
2016,1,JAGUAR XF,JAGUAR,Executive,11
2016,1,JAGUAR XJ,JAGUAR,Other,2
2016,1,JAGUAR XJR,JAGUAR,Other,1
2016,1,JEEP CHEROKEE,JEEP,Other,33
2016,1,JEEP RENEGADE,JEEP,Other,94
2016,1,JEEP WRANGLER,JEEP,Other,16
2016,1,Jeep Grand Cherokee,JEEP,Other,82
2016,1,KIA CARENS,KIA,Other,19
2016,1,KIA CEE'D,KIA,Other,40
2016,1,KIA CEED,KIA,Other,1
2016,1,KIA CEE`D,KIA,Other,1
2016,1,KIA OPTIMA,KIA,Other,1
2016,1,KIA PICANTO,KIA,Other,33
2016,1,KIA PRO,KIA,Other,2
2016,1,KIA PROCEED,KIA,Other,1
2016,1,KIA RIO,KIA,Other,19
2016,1,KIA SORENTO,KIA,Other,44
2016,1,KIA SOUL,KIA,Other,17
2016,1,KIA SPORTAGE,KIA,Other,19
2016,1,KIA SPOTAGE,KIA,Other,1
2016,1,KIA VENGA,KIA,Other,15
2016,1,LAMBORGHINI 724,LAMBORGHINI,Other,3
2016,1,LAMBORGHINI 834,LAMBORGHINI,Other,2
2016,1,LANCIA YPSILON,LANCIA,Other,13
2016,1,LAND ROVER LAND-ROVER,LAND ROVER,Other,4
2016,1,LAND ROVER RANGE,LAND ROVER,Other,5
2016,1,LAND ROVER RANGEROVER,LAND ROVER,Other,1
2016,1,LAND ROVER RANGEROVERS,LAND ROVER,Other,1
2016,1,LEXUS CT,LEXUS,Compact,8
2016,1,LEXUS IS,LEXUS,Other,3
2016,1,LEXUS LS,LEXUS,Other,1
2016,1,LEXUS NX,LEXUS,Mid-size SUV,27
2016,1,LEXUS RC,LEXUS,Other,1
2016,1,LEXUS RX,LEXUS,Large SUV,23
2016,1,LOTUS ELISE,LOTUS,Other,1
2016,1,LOTUS EVORA,LOTUS,Other,1
2016,1,LOTUS EXIGE,LOTUS,Other,4
2016,1,Land Rover Discovery,LAND ROVER,Large SUV,17
2016,1,Land Rover Discovery Sport,LAND ROVER,Compact SUV,70
2016,1,Land Rover Range Rover,LAND ROVER,Large SUV,131
2016,1,MASERATI GHIBLI,MASERATI,Executive,30
2016,1,MASERATI GRANTURISMO,MASERATI,Other,2
2016,1,MASERATI QUATTROPORTE,MASERATI,Other,4
2016,1,MAZDA 2,MAZDA,Other,83
2016,1,MAZDA 3,MAZDA,Other,66
2016,1,MAZDA 5,MAZDA,Other,5
2016,1,MAZDA 6,MAZDA,Other,48
2016,1,MAZDA CX-3,MAZDA,Other,172
2016,1,MAZDA CX-5,MAZDA,Other,202
