year,month,count
2016,1,20525
2016,2,22679
2016,3,29176
2016,4,28676
2016,5,26010
2016,6,31116
2016,7,26027
2016,8,21799
2016,9,26175
2016,10,23334
2016,11,26331
2016,12,35274
2017,1,19646
2017,2,22800
2017,3,30702
2017,4,25838
2017,5,28276
2017,6,32080
2017,7,24732
2017,8,23121
2017,9,24579
2017,10,24629
2017,11,26674
2017,12,30990
2018,1,22047
2018,2,22345
2018,3,28325
2018,4,26422
2018,5,27372
2018,6,31434
2018,7,25219
2018,8,21357
2018,9,20509
2018,10,22713
2018,11,23982
2018,12,27407
2019,1,20985
2019,2,22344
2019,3,29238
2019,4,28292
2019,5,28182
2019,6,28372
2019,7,25191
2019,8,19397
2019,9,24208
2019,10,26006
2019,11,24180
2019,12,34542
2020,1,18941
2020,2,19145
2020,3,17720
2020,4,9274
2020,5,13911
2020,6,24505
2020,7,22412
2020,8,16147
2020,9,21219
2020,10,21024
2020,11,22768
2020,12,29313
2021,1,15416
2021,2,16204
2021,3,25269
2021,4,21986
2021,5,19968
2021,6,25986
2021,7,19236
2021,8,16432
2021,9,19658
2021,10,15050
2021,11,18789
2021,12,24380
2022,1,16135
2022,2,16680
2022,3,21727
2022,4,15601
2022,5,18364
2022,6,21284
2022,7,15558
2022,8,16401
2022,9,20984
2022,10,17176
2022,11,21316
2022,12,24490
2023,1,16645
2023,2,17233
2023,3,25329
2023,4,18136
2023,5,21590
2023,6,25173
2023,7,18418
2023,8,19032
2023,9,21677
2023,10,20272
2023,11,21911
2023,12,26855
2024,1,15375
2024,2,18576
2024,3,23747
2024,4,19852
2024,5,21226
2024,6,22849
2024,7,18183
2024,8,16032
2024,9,20173
2024,10,18639
2024,11,19753
2024,12,24981
2025,1,14982
2025,2,16274
2025,3,21827
2025,4,18610
2025,5,20028
2025,6,22637
2025,7,18435
2025,8,16170
2025,9,19976
2025,10,18545
2025,11,19605
2025,12,26258
2026,1,14118
2026,2,15732
2026,3,23261
2026,4,18541
2026,5,19787
2026,6,25448
2026,7,8577
