# Warnings — 2026-03-21 22:36
# Unmapped values + plausibility checks

plausibility:bev_monthly:2016-01: ASTRA=234 vs auto.swiss=7 (diff=3242.9%)
plausibility:bev_monthly:2016-02: ASTRA=138 vs auto.swiss=21 (diff=557.1%)
plausibility:bev_monthly:2016-03: ASTRA=416 vs auto.swiss=21 (diff=1881.0%)
plausibility:bev_monthly:2016-04: ASTRA=222 vs auto.swiss=20 (diff=1010.0%)
plausibility:bev_monthly:2016-05: ASTRA=174 vs auto.swiss=14 (diff=1142.9%)
plausibility:bev_monthly:2016-06: ASTRA=360 vs auto.swiss=47 (diff=666.0%)
plausibility:bev_monthly:2016-07: ASTRA=132 vs auto.swiss=13 (diff=915.4%)
plausibility:bev_monthly:2016-08: ASTRA=258 vs auto.swiss=38 (diff=578.9%)
plausibility:bev_monthly:2016-09: ASTRA=453 vs auto.swiss=37 (diff=1124.3%)
plausibility:bev_monthly:2016-10: ASTRA=198 vs auto.swiss=13 (diff=1423.1%)
plausibility:bev_monthly:2016-11: ASTRA=174 vs auto.swiss=7 (diff=2385.7%)
plausibility:bev_monthly:2016-12: ASTRA=541 vs auto.swiss=31 (diff=1645.2%)
plausibility:bev_monthly:2017-01: ASTRA=301 vs auto.swiss=14 (diff=2050.0%)
plausibility:bev_monthly:2017-02: ASTRA=200 vs auto.swiss=18 (diff=1011.1%)
plausibility:bev_monthly:2017-03: ASTRA=571 vs auto.swiss=24 (diff=2279.2%)
plausibility:bev_monthly:2017-04: ASTRA=220 vs auto.swiss=16 (diff=1275.0%)
plausibility:bev_monthly:2017-05: ASTRA=254 vs auto.swiss=27 (diff=840.7%)
plausibility:bev_monthly:2017-06: ASTRA=492 vs auto.swiss=15 (diff=3180.0%)
plausibility:bev_monthly:2017-07: ASTRA=254 vs auto.swiss=13 (diff=1853.8%)
plausibility:bev_monthly:2017-08: ASTRA=324 vs auto.swiss=16 (diff=1925.0%)
plausibility:bev_monthly:2017-09: ASTRA=550 vs auto.swiss=16 (diff=3337.5%)
plausibility:bev_monthly:2017-10: ASTRA=356 vs auto.swiss=16 (diff=2125.0%)
plausibility:bev_monthly:2017-11: ASTRA=710 vs auto.swiss=22 (diff=3127.3%)
plausibility:bev_monthly:2017-12: ASTRA=541 vs auto.swiss=15 (diff=3506.7%)
plausibility:bev_monthly:2018-01: ASTRA=246 vs auto.swiss=16 (diff=1437.5%)
plausibility:bev_monthly:2018-02: ASTRA=400 vs auto.swiss=18 (diff=2122.2%)
plausibility:bev_monthly:2018-03: ASTRA=672 vs auto.swiss=23 (diff=2821.7%)
plausibility:bev_monthly:2018-04: ASTRA=277 vs auto.swiss=28 (diff=889.3%)
plausibility:bev_monthly:2018-05: ASTRA=248 vs auto.swiss=35 (diff=608.6%)
plausibility:bev_monthly:2018-06: ASTRA=567 vs auto.swiss=29 (diff=1855.2%)
plausibility:bev_monthly:2018-07: ASTRA=226 vs auto.swiss=15 (diff=1406.7%)
plausibility:bev_monthly:2018-08: ASTRA=312 vs auto.swiss=13 (diff=2300.0%)
plausibility:bev_monthly:2018-09: ASTRA=535 vs auto.swiss=12 (diff=4358.3%)
plausibility:bev_monthly:2018-10: ASTRA=408 vs auto.swiss=45 (diff=806.7%)
plausibility:bev_monthly:2018-11: ASTRA=474 vs auto.swiss=46 (diff=930.4%)
plausibility:bev_monthly:2018-12: ASTRA=749 vs auto.swiss=19 (diff=3842.1%)
plausibility:bev_monthly:2019-04: ASTRA=1,050 vs auto.swiss=1,122 (diff=6.4%)
plausibility:bev_monthly:2019-07: ASTRA=686 vs auto.swiss=745 (diff=7.9%)
plausibility:bev_monthly:2019-10: ASTRA=666 vs auto.swiss=715 (diff=6.9%)
plausibility:bev_monthly:2020-04: ASTRA=500 vs auto.swiss=532 (diff=6.0%)
plausibility:bev_monthly:2025-07: ASTRA=3,785 vs auto.swiss=4,083 (diff=7.3%)
plausibility:mom_spike:2026-03: 7,601 vs prev 15,772 (change=52%, threshold=50%)
plausibility:monthly_total:2025-06: ASTRA=22,671 vs auto.swiss=21,810 (diff=3.9%)
plausibility:monthly_total:2025-07: ASTRA=18,548 vs auto.swiss=19,629 (diff=5.5%)
unmapped:brand:UEBRIGE (SIEHE TYP)
unmapped:color:Effektlack
unmapped:color:unbekannt
